host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T11:25:57.826466+00:00,1234953.294152,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T11:25:57.877860+00:00,1234953.344570,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,536,26842,1,0,1,1,0,1,0,2299245809,104,36194,1234935896,105,0,-0.6623374,0.0012037,"[0.9451287388801575,-0.031410980969667435,0.016577990725636482,-0.3247618079185486]","[-0.006265662144869566,0.002150036161765456,0.001203666441142559]","[-0.1097949966788292,-0.6551010012626648,9.737726211547852]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:25:57.929701+00:00,1234953.396265,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,537,26892,1,0,1,1,0,1,0,183663547,0,40872,1234953294,106,0,-0.6623204,0.0012405,"[0.945128321647644,-0.031502995640039444,0.016640998423099518,-0.3247509300708771]","[-0.005667765159159899,0.00027459266129881144,0.0012405277229845524]","[-0.09310799837112427,-0.6748239994049072,9.711819648742676]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:25:57.981035+00:00,1234953.448049,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,538,26942,1,0,1,1,0,1,0,183663547,1,13965,1234953345,107,0,-0.6622974,0.0024561,"[0.9451292753219604,-0.031582992523908615,0.016687998548150063,-0.32473793625831604]","[-0.0032257698476314545,0.001521961996331811,0.002456097165122628]","[-0.09076900035142899,-0.6869350075721741,9.70722770690918]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:25:58.033008+00:00,1234953.499255,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,539,26992,1,0,1,1,0,1,0,183663547,2,60840,1234953397,108,0,-0.6622538,0.0024671,"[0.9451343417167664,-0.03164296597242355,0.01672298274934292,-0.32471564412117004]","[-0.0032295051496475935,0.0008981116116046906,0.002467145211994648]","[-0.09800399839878082,-0.6980419754981995,9.71290397644043]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:25:58.084475+00:00,1234953.551449,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,540,27042,1,0,1,1,0,1,0,183663547,3,21918,1234953448,109,0,-0.6622526,0.0024893,"[0.9451335668563843,-0.031667985022068024,0.01675199158489704,-0.3247138559818268]","[-0.0014059848617762327,0.00026248005451634526,0.002489293459802866]","[-0.12915700674057007,-0.6784070134162903,9.781024932861328]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:25:58.136516+00:00,1234953.602772,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,541,27091,1,0,1,1,0,1,0,183663547,4,11044,1234953500,110,0,-0.6622145,0.0036827,"[0.9451392889022827,-0.03167696297168732,0.016782980412244797,-0.3246946334838867]","[-0.0007874925504438579,0.002145481063053012,0.003682714654132724]","[-0.10291200131177902,-0.717930018901825,9.721935272216797]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:25:58.188701+00:00,1234953.654995,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,542,27141,1,0,1,1,0,1,0,183663547,5,37762,1234953552,111,0,-0.6621848,0.0024598,"[0.9451441168785095,-0.03167496994137764,0.01680498570203781,-0.3246797025203705]","[-0.0007856949232518673,0.0021300697699189186,0.0024597973097115755]","[-0.10538999736309052,-0.7175160050392151,9.74828815460205]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:25:58.240458+00:00,1234953.707093,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,543,27191,1,0,1,1,0,1,0,183663547,6,12541,1234953603,112,0,-0.6621604,0.0004806,"[0.9451488852500916,-0.031647976487874985,0.01681898906826973,-0.32466772198677063]","[0.0016387247014790773,-0.00040671409806236625,0.0004806287761311978]","[-0.11094000190496445,-0.7068960070610046,9.75926399230957]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",20,1,1
2026-08-11T11:25:58.292487+00:00,1234953.758828,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,544,27241,1,0,1,1,0,1,0,183663547,7,35755,1234953656,113,0,-0.6621553,0.0024893,"[0.9451517462730408,-0.03158397972583771,0.01681498810648918,-0.32466578483581543]","[0.0004250051570124924,0.0008745146915316582,0.0024893106892704964]","[-0.12049999833106995,-0.6952850222587585,9.781370162963867]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
