host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T11:31:11.593217+00:00,1235267.060901,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T11:31:11.644241+00:00,1235267.111305,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,975,48804,1,0,1,1,0,1,0,3101608566,131,25642,1235266778,272,0,1.5143764,0.4067039,"[0.7262848615646362,-0.026495976373553276,-0.014525986276566982,0.6867294311523438]","[-0.0016142725944519043,-0.03145840764045715,0.406703919172287]","[-0.11683599650859833,-0.6383399963378906,9.730201721191406]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:11.696245+00:00,1235267.162516,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,976,48854,1,0,1,1,0,1,0,1445070963,0,63788,1235267060,273,0,1.5337989,0.4009552,"[0.7195874452590942,-0.02619597688317299,-0.01490198913961649,0.6937474608421326]","[-0.004846814554184675,-0.030261721462011337,0.4009552299976349]","[-0.11528299748897552,-0.6447499990463257,9.73111343383789]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:11.748381+00:00,1235267.214725,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,977,48904,1,0,1,1,0,1,0,1445070963,1,7941,1235267111,274,0,1.5529640,0.3943974,"[0.7129096388816833,-0.02597297914326191,-0.015355987474322319,0.7006064653396606]","[-0.008894006721675396,-0.02969391644001007,0.3943973779678345]","[-0.11215099692344666,-0.6478369832038879,9.739989280700684]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:11.800561+00:00,1235267.266842,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,978,48954,1,0,1,1,0,1,0,1445070963,2,63989,1235267163,275,0,1.5718491,0.3895021,"[0.7062625885009766,-0.025821981951594353,-0.01584498956799507,0.7073014378547668]","[-0.011326855048537254,-0.030363719910383224,0.38950207829475403]","[-0.12651699781417847,-0.6499930024147034,9.751850128173828]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:11.852735+00:00,1235267.319037,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,979,49003,1,0,1,1,0,1,0,1445070963,3,53278,1235267215,276,0,1.5923098,0.3845478,"[0.6989872455596924,-0.025727983564138412,-0.016416987404227257,0.7144826054573059]","[-0.014350115321576595,-0.027910379692912102,0.38454777002334595]","[-0.11921200156211853,-0.6285250186920166,9.742022514343262]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:11.904933+00:00,1235267.371187,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,980,49053,1,0,1,1,0,1,0,1445070963,4,57899,1235267268,277,0,1.6106470,0.3795786,"[0.6924020648002625,-0.025713976472616196,-0.01694798469543457,0.7208543419837952]","[-0.017978724092245102,-0.024829262867569923,0.3795786499977112]","[-0.10734999924898148,-0.6455270051956177,9.735213279724121]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:11.956933+00:00,1235267.423410,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,981,49103,1,0,1,1,0,1,0,1445070963,5,29675,1235267320,278,0,1.6287215,0.3758805,"[0.6858516931533813,-0.025762980803847313,-0.01750798709690571,0.7270744442939758]","[-0.017353005707263947,-0.023007944226264954,0.37588050961494446]","[-0.09550999850034714,-0.6698189973831177,9.723713874816895]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:12.009081+00:00,1235267.475371,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,982,49152,1,0,1,1,0,1,0,1445070963,6,26319,1235267372,279,0,1.6482874,0.3691323,"[0.6786949038505554,-0.025883981958031654,-0.018119987100362778,0.7337403893470764]","[-0.020997585728764534,-0.023069169372320175,0.36913231015205383]","[-0.15055499970912933,-0.658918023109436,9.790087699890137]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:12.060195+00:00,1235267.527477,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,983,49202,1,0,1,1,0,1,0,1445070963,7,56937,1235267424,280,0,1.6658064,0.3635888,"[0.6722310781478882,-0.025996973738074303,-0.018704982474446297,0.7396482825279236]","[-0.022196415811777115,-0.021259194239974022,0.36358875036239624]","[-0.1410139948129654,-0.6638829708099365,9.783071517944336]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
