host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T11:31:04.560211+00:00,1235260.027870,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T11:31:04.611343+00:00,1235260.078281,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,836,41847,1,0,1,1,0,1,0,3736369553,126,19699,1235259730,140,0,-1.3072507,-0.3457366,"[0.7935936450958252,-0.021483993157744408,0.017501993104815483,-0.607816755771637]","[0.008368277922272682,0.01640232652425766,-0.345736563205719]","[-0.028334999457001686,-0.598002016544342,9.721029281616211]",0.0009487,9.297,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:04.662334+00:00,1235260.129612,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,837,41898,1,0,1,1,0,1,0,3101608566,0,48625,1235260027,141,0,-1.3269086,-0.3365943,"[0.7875833511352539,-0.021235981956124306,0.017602987587451935,-0.615590512752533]","[0.007143999915570021,0.01777356117963791,-0.33659425377845764]","[-0.0674239993095398,-0.5816720128059387,9.780309677124023]",0.0009024,8.844,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:04.713331+00:00,1235260.180600,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,838,41948,1,0,1,1,0,1,0,3101608566,1,327,1235260078,142,0,-1.3443860,-0.3292790,"[0.7821763753890991,-0.020984981209039688,0.01771298423409462,-0.6224515438079834]","[0.0071406131610274315,0.019113782793283463,-0.32927897572517395]","[-0.05708799883723259,-0.5751579999923706,9.789929389953613]",0.0009024,8.844,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:04.764385+00:00,1235260.231498,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,839,41999,1,0,1,1,0,1,0,3101608566,2,6627,1235260130,143,0,-1.3631810,-0.3207186,"[0.7762963771820068,-0.020671995356678963,0.017823996022343636,-0.6297768950462341]","[0.007127942517399788,0.019221747294068336,-0.3207186162471771]","[-0.019658999517560005,-0.6084049940109253,9.725278854370117]",0.0007916,7.758,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:04.815244+00:00,1235260.282544,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,840,42049,1,0,1,1,0,1,0,3101608566,3,14520,1235260181,144,0,-1.3815444,-0.3133518,"[0.770485520362854,-0.020349983125925064,0.017923984676599503,-0.6368804574012756]","[0.008327803574502468,0.01805873028934002,-0.31335175037384033]","[-0.030626000836491585,-0.5541080236434937,9.75873851776123]",0.0007916,7.758,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:04.866422+00:00,1235260.333407,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,841,42099,1,0,1,1,0,1,0,3101608566,4,8331,1235260232,145,0,-1.3978325,-0.3047766,"[0.7652764916419983,-0.02007998526096344,0.018005987629294395,-0.6431365013122559]","[0.007089492864906788,0.016926884651184082,-0.3047766089439392]","[-0.030584000051021576,-0.5641319751739502,9.732500076293945]",0.0006975,6.836,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:04.917413+00:00,1235260.384644,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,842,42149,1,0,1,1,0,1,0,3101608566,5,58471,1235260282,146,0,-1.4137355,-0.2974392,"[0.7601416110992432,-0.019811982288956642,0.018085982650518417,-0.6492034196853638]","[0.007078636437654495,0.017019420862197876,-0.29743921756744385]","[-0.022679999470710754,-0.5598670244216919,9.751718521118164]",0.0006975,6.836,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:04.968377+00:00,1235260.435564,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,843,42199,1,0,1,1,0,1,0,3101608566,6,28046,1235260334,147,0,-1.4292552,-0.2913063,"[0.7550838589668274,-0.019566982984542847,0.0181649848818779,-0.655084490776062]","[0.004622051026672125,0.015240738168358803,-0.2913062870502472]","[-0.025846999138593674,-0.5689290165901184,9.735024452209473]",0.0006752,6.617,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:31:05.019419+00:00,1235260.486545,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,844,42249,1,0,1,1,0,1,0,3101608566,7,10956,1235260385,148,0,-1.4444652,-0.2839873,"[0.7500827312469482,-0.019326992332935333,0.018243994563817978,-0.6608097553253174]","[0.0070587401278316975,0.017189068719744682,-0.28398725390434265]","[-0.018644999712705612,-0.5617820024490356,9.7326021194458]",0.0005517,5.406,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
