host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T11:39:46.043126+00:00,1235781.510775,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T11:39:46.094415+00:00,1235781.561238,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4146,207342,1,0,1,1,0,1,0,3964208267,0,5206,1235781510,229,0,1.1052611,-0.0019652,"[0.8505465984344482,-0.031790994107723236,-0.013905996456742287,0.5247538685798645]","[0.0016423373017460108,-0.0004375715216156095,-0.001965153496712446]","[-0.07727299630641937,-0.6770709753036499,9.727226257324219]",0.0012221,11.977,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:39:46.145925+00:00,1235781.612745,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4147,207392,1,0,1,1,0,1,0,3964208267,1,34198,1235781562,230,0,1.1052856,-0.0023507,"[0.8505430817604065,-0.03171197697520256,-0.013888989575207233,0.5247646570205688]","[0.0016354782273992896,-0.0016903863288462162,-0.0023506791330873966]","[-0.07648400217294693,-0.68197101354599,9.721710205078125]",0.0012221,11.977,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:39:46.197275+00:00,1235781.664247,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4148,207442,1,0,1,1,0,1,0,3964208267,2,7676,1235781613,231,0,1.1052840,-0.0023728,"[0.8505460023880005,-0.03164798021316528,-0.013892991468310356,0.5247637033462524]","[0.0016429482493549585,-0.0004427027888596058,-0.00237279268912971]","[-0.07175599783658981,-0.6916509866714478,9.719508171081543]",0.0011854,11.617,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:39:46.248846+00:00,1235781.715553,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4149,207492,1,0,1,1,0,1,0,3964208267,3,28257,1235781664,232,0,1.1052901,-0.0011573,"[0.8505458235740662,-0.03161098062992096,-0.01390899159014225,0.5247657299041748]","[0.0004229630867484957,-0.0004194200737401843,-0.0011572755174711347]","[-0.07889000326395035,-0.684328019618988,9.724116325378418]",0.0011854,11.617,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:39:46.300803+00:00,1235781.767205,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4150,207542,1,0,1,1,0,1,0,3964208267,4,25201,1235781716,233,0,1.1052814,-0.0023728,"[0.850549042224884,-0.03158797696232796,-0.013920990750193596,0.5247616171836853]","[-0.0020190319046378136,-0.0016667895251885056,-0.0023728273808956146]","[-0.10751999914646149,-0.649715006351471,9.77605152130127]",0.0011703,11.469,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:39:46.353005+00:00,1235781.819245,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4151,207592,1,0,1,1,0,1,0,3964208267,5,41341,1235781768,234,0,1.1052824,-0.0011868,"[0.8505488634109497,-0.031584981828927994,-0.013935992494225502,0.5247616171836853]","[-0.0007877369644120336,0.0008361174841411412,-0.0011867715511471033]","[-0.09315899759531021,-0.6549209952354431,9.754703521728516]",0.0011703,11.469,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:39:46.404183+00:00,1235781.871431,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4152,207642,1,0,1,1,0,1,0,3964208267,6,31320,1235781820,235,0,1.1052997,-0.0011794,"[0.8505438566207886,-0.03159896284341812,-0.013957981020212173,0.5247683525085449]","[-0.003231547074392438,-0.00039582321187481284,-0.0011794236488640308]","[-0.08357100188732147,-0.6625480055809021,9.730938911437988]",0.0011519,11.289,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:39:46.455163+00:00,1235781.922332,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4153,207692,1,0,1,1,0,1,0,3964208267,7,38722,1235781871,236,0,1.1053145,-0.0024429,"[0.8505387306213379,-0.03163296356797218,-0.01396598294377327,0.524774432182312]","[-0.002605706686154008,0.002080170903354883,-0.0024428674951195717]","[-0.10761000216007233,-0.6714730262756348,9.76917552947998]",0.0011519,11.289,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:39:46.507084+00:00,1235781.973345,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4154,207741,1,0,1,1,0,1,0,3964208267,8,26648,1235781922,237,0,1.1053247,-0.0011720,"[0.8505340218544006,-0.03168798238039017,-0.014005991630256176,0.5247777104377747]","[-0.002013377146795392,-0.00040367720066569746,-0.0011720409383997321]","[-0.06695199757814407,-0.6819779872894287,9.72421932220459]",0.0010882,10.664,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
