host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T10:23:49.501338+00:00,1231224.968993,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T10:23:49.602138+00:00,1231225.068898,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1049,52500,1,0,1,1,0,1,0,2505787931,0,62846,1231224969,308,1,-1.0250758,0.0049056,"[0.8710159063339233,-0.029056983068585396,0.01955498941242695,-0.49000468850135803]","[-0.0007893076981417835,0.0021609095856547356,0.004905614536255598]","[-0.023322999477386475,-0.6997939944267273,9.726580619812012]",0.0005046,4.945,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:49.703354+00:00,1231225.168898,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1051,52600,1,0,1,1,0,1,0,2505787931,0,62846,1231224969,308,1,-1.0250399,0.0043015,"[0.8710252046585083,-0.02904299832880497,0.019557997584342957,-0.48998895287513733]","[-0.003232210408896208,0.0009212545701302588,0.004301503766328096]","[-0.03837699815630913,-0.6991310119628906,9.71280574798584]",0.0005086,4.984,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:49.803412+00:00,1231225.268898,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1053,52700,1,0,1,1,0,1,0,2505787931,0,62846,1231224969,308,1,-1.0250225,0.0049203,"[0.871029257774353,-0.029048975557088852,0.01955198310315609,-0.48998159170150757]","[-0.002014947822317481,0.0009210975258611143,0.004920345265418291]","[-0.03605100139975548,-0.7038059830665588,9.72249698638916]",0.0004114,4.031,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:49.903607+00:00,1231225.368911,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1055,52800,1,0,1,1,0,1,0,2505787931,3,42901,1231225270,309,1,-1.0249879,0.0049609,"[0.8710386753082275,-0.029020987451076508,0.0195199903100729,-0.4899677634239197]","[-0.0008079827530309558,-0.0009582730708643794,0.004960906226187944]","[-0.040782999247312546,-0.7014880180358887,9.715211868286133]",0.0004974,4.875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:50.003717+00:00,1231225.468901,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1057,52900,1,0,1,1,0,1,0,2505787931,4,40435,1231225371,310,1,-1.0249983,0.0049314,"[0.87103670835495,-0.02900596335530281,0.019488975405693054,-0.48997342586517334]","[-0.0020186826586723328,0.00029724702471867204,0.004931410308927298]","[-0.05991499871015549,-0.6913390159606934,9.74362850189209]",0.0004265,4.180,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:50.103566+00:00,1231225.568894,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1059,53000,1,0,1,1,0,1,0,2505787931,5,42027,1231225471,311,1,-1.0250345,0.0049425,"[0.8710284233093262,-0.028988974168896675,0.0194539837539196,-0.48999056220054626]","[-0.002022417727857828,-0.00032656858093105257,0.004942458122968674]","[-0.07424300163984299,-0.6813579797744751,9.762508392333984]",0.0003460,3.391,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:50.202700+00:00,1231225.668816,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1061,53100,1,0,1,1,0,1,0,2505787931,5,42027,1231225471,311,1,-1.0250800,0.0037232,"[0.8710170388221741,-0.028995979577302933,0.01941998489201069,-0.49001163244247437]","[-0.0014115176163613796,-0.00034592425799928606,0.0037232411559671164]","[-0.06946399807929993,-0.6814169883728027,9.760164260864258]",0.0003579,3.508,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:50.303608+00:00,1231225.768901,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1063,53200,1,0,1,1,0,1,0,2505787931,7,6410,1231225670,312,1,-1.0251142,0.0043015,"[0.8710081577301025,-0.029011981561779976,0.019416986033320427,-0.49002665281295776]","[-0.003232210408896208,0.0009212545701302588,0.004301503766328096]","[-0.07191699743270874,-0.6761919856071472,9.786446571350098]",0.0003627,3.555,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:50.403546+00:00,1231225.868909,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,1065,53300,1,0,1,1,0,1,0,2505787931,7,6410,1231225670,312,1,-1.0250912,0.0057503,"[0.8710128664970398,-0.029040979221463203,0.019412986934185028,-0.4900166988372803]","[-0.003241791855543852,-0.0003084171621594578,0.005750336684286594]","[-0.07741499692201614,-0.6666179895401001,9.781445503234863]",0.0003276,3.211,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
