host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T10:19:21.100462+00:00,1230956.568100,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T10:19:21.151343+00:00,1230956.617925,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,358,17950,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.0281576,0.0024967,"[0.8702507615089417,-0.029298987239599228,0.019709991291165352,-0.4913417398929596]","[-0.002018804894760251,-0.0003574085421860218,0.002496658591553569]","[-0.07431499660015106,-0.6687449812889099,9.800703048706055]",0.0002025,1.984,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:19:21.200591+00:00,1230956.667858,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,359,18000,1,0,1,1,0,1,0,3667367138,1,17248,1230956618,1,0,-1.0281416,0.0037122,"[0.8702548742294312,-0.029293980449438095,0.019711986184120178,-0.4913347065448761]","[-0.003238772740587592,-0.0003341258561704308,0.0037121756467968225]","[-0.07185400277376175,-0.6690859794616699,9.779147148132324]",0.0002631,2.578,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:19:21.250619+00:00,1230956.717864,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,360,18050,1,0,1,1,0,1,0,3667367138,1,17248,1230956618,1,0,-1.0281070,0.0037011,"[0.870263397693634,-0.029293972998857498,0.01968798227608204,-0.49132055044174194]","[-0.0014040475944057107,0.0009017417905852199,0.00370112806558609]","[-0.07186199724674225,-0.6690490245819092,9.781545639038086]",0.0002535,2.484,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:19:21.302174+00:00,1230956.767862,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,361,18100,1,0,1,1,0,1,0,3667367138,3,25820,1230956718,2,0,-1.0280881,0.0031192,"[0.8702690005302429,-0.02926497906446457,0.019678987562656403,-0.4913126528263092]","[-0.002023430075496435,-0.0009735446656122804,0.0031191653106361628]","[-0.06230499967932701,-0.6740869879722595,9.769735336303711]",0.0002535,2.484,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:19:21.351083+00:00,1230956.817947,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,362,18150,1,0,1,1,0,1,0,3667367138,4,33691,1230956769,3,0,-1.0280708,0.0037011,"[0.8702743053436279,-0.029234973713755608,0.019641978666186333,-0.4913065433502197]","[-0.0014040475944057107,0.0009017417905852199,0.00370112806558609]","[-0.05038300156593323,-0.676584005355835,9.767508506774902]",0.0002192,2.148,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:19:21.400914+00:00,1230956.867863,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,363,18200,1,0,1,1,0,1,0,3667367138,4,33691,1230956769,3,0,-1.0280471,0.0025335,"[0.8702815771102905,-0.029192965477705002,0.019610978662967682,-0.4912974536418915]","[0.000410065142204985,-0.0016208350425586104,0.00253353756852448]","[-0.05668700113892555,-0.6702380180358887,9.760947227478027]",0.0002192,2.148,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:19:21.450713+00:00,1230956.917866,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,364,18250,1,0,1,1,0,1,0,3667367138,4,33691,1230956769,3,0,-1.0280238,0.0043384,"[0.8702885508537292,-0.029156992211937904,0.019572991877794266,-0.49128881096839905]","[-0.0008033401682041585,-0.00034215435152873397,0.004338399972766638]","[-0.04311700165271759,-0.6623309850692749,9.757789611816406]",0.0002025,1.984,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:19:21.501275+00:00,1230956.967871,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,365,18300,1,0,1,1,0,1,0,3667367138,4,33691,1230956769,3,0,-1.0280215,0.0036679,"[0.8702903389930725,-0.029120994731783867,0.019568996503949165,-0.4912879467010498]","[-0.0032238501589745283,0.0021612239070236683,0.0036679315380752087]","[-0.04792200028896332,-0.6670830249786377,9.760202407836914]",0.0002025,1.984,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:19:21.551554+00:00,1230957.017890,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,366,18350,1,0,1,1,0,1,0,3667367138,4,33691,1230956769,3,0,-1.0280089,0.0025114,"[0.8702954053878784,-0.029058996587991714,0.019561994820833206,-0.4912828803062439]","[0.00041753510595299304,-0.0003731513861566782,0.0025114240124821663]","[-0.024070000275969505,-0.6721140146255493,9.7533540725708]",0.0002312,2.266,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
