host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T10:23:04.904334+00:00,1231180.371972,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T10:23:04.954698+00:00,1231180.421805,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,156,7850,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.0378740,0.0000115,"[0.8678615093231201,-0.028967993333935738,0.019565992057323456,-0.49557483196258545]","[-0.0024087990168482065,0.0016938071930781007,1.151917331299046e-05]","[-0.11726599931716919,-0.6807690262794495,9.787591934204102]",0.0004401,4.312,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:05.005665+00:00,1231180.471824,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,157,7900,1,0,1,1,0,1,0,3443189405,1,42722,1231180422,1,0,-1.0378784,0.0000250,"[0.8678614497184753,-0.02893899194896221,0.019561992958188057,-0.4955768585205078]","[-0.0026167896576225758,0.0008633271208964288,2.5028020900208503e-05]","[-0.088468998670578,-0.6767380237579346,9.745485305786133]",0.0004401,4.312,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:05.054789+00:00,1231180.521802,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,158,7950,1,0,1,1,0,1,0,3443189405,2,26820,1231180473,2,0,-1.0379012,-0.0012126,"[0.8678567409515381,-0.028909988701343536,0.019562991335988045,-0.4955867528915405]","[0.000441620679339394,0.0026997628156095743,-0.0012125675566494465]","[-0.057346999645233154,-0.6699950098991394,9.72415542602539]",0.0003532,3.461,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:05.105355+00:00,1231180.571818,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,159,8000,1,0,1,1,0,1,0,3443189405,3,34270,1231180522,3,0,-1.0379174,-0.0012273,"[0.8678537607192993,-0.028874965384602547,0.019602973014116287,-0.4955923855304718]","[-0.001994702033698559,0.0027155056595802307,-0.0012273330939933658]","[-0.05017099902033806,-0.6676589846611023,9.721802711486816]",0.0003532,3.461,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:05.155039+00:00,1231180.621809,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,160,8050,1,0,1,1,0,1,0,3443189405,4,37341,1231180572,4,0,-1.0379336,-0.0024097,"[0.8678504228591919,-0.028852971270680428,0.019627980887889862,-0.49559852480888367]","[-0.0007859218749217689,0.0008206887287087739,-0.0024096714332699776]","[-0.023854000493884087,-0.675508975982666,9.688637733459473]",0.0003595,3.523,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:05.205105+00:00,1231180.671751,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,161,8100,1,0,1,1,0,1,0,3443189405,4,37341,1231180572,4,0,-1.0379616,-0.0012016,"[0.8678436875343323,-0.02884596586227417,0.019661977887153625,-0.49560943245887756]","[-0.003224076936021447,0.0008518428658135235,-0.0012015544343739748]","[-0.011885000392794609,-0.6659060120582581,9.691033363342285]",0.0003595,3.523,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:05.255263+00:00,1231180.721863,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,162,8150,1,0,1,1,0,1,0,3443189405,4,37341,1231180572,4,0,-1.0380093,0.0000140,"[0.8678317666053772,-0.0288469847291708,0.019698988646268845,-0.4956287741661072]","[-0.003223396372050047,0.0012831661151722074,1.3962633602204733e-05]","[0.015123999677598476,-0.6733199954032898,9.686655044555664]",0.0003771,3.695,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:05.305616+00:00,1231180.771831,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,163,8200,1,0,1,1,0,1,0,3443189405,7,45324,1231180722,5,0,-1.0380054,0.0000066,"[0.8678324818611145,-0.028853971511125565,0.019713979214429855,-0.4956265091896057]","[-0.0020002522505819798,0.002107083797454834,6.61479771224549e-06]","[0.023801999166607857,-0.6779879927635193,9.698817253112793]",0.0003771,3.695,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:23:05.355016+00:00,1231180.821752,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,164,8250,1,0,1,1,0,1,0,3443189405,8,10607,1231180773,6,0,-1.0380027,-0.0006012,"[0.867832601070404,-0.028867965564131737,0.019738977774977684,-0.4956244230270386]","[-0.0032212494406849146,0.0014834076864644885,-0.0006011612131260335]","[0.009422999806702137,-0.682548999786377,9.710712432861328]",0.0003571,3.500,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
