host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T11:13:39.824111+00:00,1234215.291760,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T11:13:39.875326+00:00,1234215.341626,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,115,5800,0,0,1,1,0,1,0,3427361367,0,24141,1234215291,1,0,0.5653052,0.0276363,"[0.9595791697502136,-0.03662696108222008,-0.0005809989525005221,0.2790447175502777]","[0.004023751709610224,-0.0019520983332768083,0.02763631008565426]","[-0.2246440052986145,-0.7588120102882385,9.685155868530273]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:39.925403+00:00,1234215.391680,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,116,5850,0,0,1,1,0,1,0,3427361367,1,58107,1234215342,2,0,0.5667472,0.0306014,"[0.9593761563301086,-0.036637965589761734,-0.0004689997585956007,0.27974072098731995]","[0.0016090190038084984,0.002469065133482218,0.0306013822555542]","[-0.23416300117969513,-0.7268750071525574,9.725356101989746]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:39.975290+00:00,1234215.441627,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,117,5900,0,0,1,1,0,1,0,3427361367,2,37094,1234215392,3,0,0.5682925,0.0305719,"[0.9591559171676636,-0.03669397160410881,-0.0003179993655066937,0.2804877758026123]","[0.0022293091751635075,0.004336654674261808,0.03057190403342247]","[-0.21508599817752838,-0.7343249917030334,9.716090202331543]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.025409+00:00,1234215.491682,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,118,5950,0,0,1,1,0,1,0,3427361367,3,34827,1234215442,4,0,0.5698545,0.0317616,"[0.9589304327964783,-0.03680199012160301,-0.00013799969747196883,0.2812439203262329]","[-0.0014232636895030737,0.004999513737857342,0.031761590391397476]","[-0.2152860015630722,-0.75068598985672,9.747512817382812]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.075308+00:00,1234215.541628,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,119,5999,0,0,1,1,0,1,0,3427361367,4,34107,1234215492,5,0,0.5715120,0.0304834,"[0.9586896896362305,-0.03692898154258728,7.199978426797315e-05,0.2820468544960022]","[-0.0032337813172489405,0.0074912505224347115,0.030483363196253777]","[-0.23176899552345276,-0.6875559687614441,9.77997875213623]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.125403+00:00,1234215.591669,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,120,6049,0,0,1,1,0,1,0,3427361367,5,16855,1234215542,6,0,0.5730071,0.0304244,"[0.9584686756134033,-0.03711898252367973,0.0002709999680519104,0.28277185559272766]","[-0.00687584700062871,0.009594318456947803,0.03042435273528099]","[-0.20798100531101227,-0.7062540054321289,9.770933151245117]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.174350+00:00,1234215.641693,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,121,6099,0,0,1,1,0,1,0,3427361367,6,18528,1234215592,7,0,0.5743515,0.0255475,"[0.9582669138908386,-0.03734597563743591,0.0004679997800849378,0.2834247946739197]","[-0.006873595528304577,0.00870085135102272,0.025547469034790993]","[-0.2056169956922531,-0.6922309994697571,9.797141075134277]",10.4172096,102088.656,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.224958+00:00,1234215.691611,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,122,6149,1,0,1,1,0,1,0,3427361367,7,23486,1234215642,8,0,0.5755312,0.0218161,"[0.9580869674682617,-0.03759896755218506,0.0006629992858506739,0.2839987576007843]","[-0.009898670017719269,0.01116960123181343,0.021816059947013855]","[-0.21975000202655792,-0.6486480236053467,9.810730934143066]",0.0000016,0.016,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.275045+00:00,1234215.741621,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,123,6199,1,0,1,1,0,1,0,3427361367,8,9258,1234215692,9,0,0.5765294,0.0175174,"[0.9579302668571472,-0.037902992218732834,0.000848999887239188,0.28448593616485596]","[-0.012937759980559349,0.011135288514196873,0.017517434433102608]","[-0.20069800317287445,-0.6658309698104858,9.794410705566406]",0.0002982,2.922,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.323976+00:00,1234215.791554,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.049248,123,6199,1,0,1,1,0,1,0,3427361367,8,9258,1234215692,9,0,0.5765294,0.0175174,"[0.9579302668571472,-0.037902992218732834,0.000848999887239188,0.28448593616485596]","[-0.012937759980559349,0.011135288514196873,0.017517434433102608]","[-0.20069800317287445,-0.6658309698104858,9.794410705566406]",0.0002982,2.922,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.376073+00:00,1234215.841620,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,125,6300,1,0,1,1,0,1,0,3427361367,10,51047,1234215791,11,0,0.5778784,0.0107804,"[0.9577029347419739,-0.03862696513533592,0.0012439985293895006,0.28515174984931946]","[-0.011093085631728172,0.012286350131034851,0.010780410841107368]","[-0.20061299204826355,-0.6711180210113525,9.76330280303955]",0.0002942,2.883,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.424520+00:00,1234215.891566,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,126,6350,1,0,1,1,0,1,0,3427361367,11,37286,1234215843,12,0,0.5782479,0.0077785,"[0.957636833190918,-0.03889197111129761,0.0014139990089461207,0.28533679246902466]","[-0.009276233613491058,0.00974063016474247,0.007778461556881666]","[-0.19117100536823273,-0.6928840279579163,9.758933067321777]",0.0002942,2.883,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.474464+00:00,1234215.941618,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,127,6400,1,0,1,1,0,1,0,3427361367,12,25170,1234215892,13,0,0.5785395,0.0059884,"[0.9575842618942261,-0.039110954850912094,0.001540998462587595,0.2854826748371124]","[-0.0056264703162014484,0.008446206338703632,0.005988382268697023]","[-0.21020500361919403,-0.6856160163879395,9.756210327148438]",0.0003707,3.633,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.524542+00:00,1234215.991627,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,128,6450,1,0,1,1,0,1,0,3427361367,13,57876,1234215942,14,0,0.5788249,0.0060806,"[0.9575381875038147,-0.039213959127664566,0.0016109982971102,0.2856227159500122]","[-0.003216258017346263,0.004063580185174942,0.006080570165067911]","[-0.186366006731987,-0.7028939723968506,9.735148429870605]",0.0003707,3.633,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.575080+00:00,1234216.041623,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,129,6500,1,0,1,1,0,1,0,3427361367,14,47471,1234215992,15,0,0.5792071,0.0074178,"[0.9574834108352661,-0.03922498971223831,0.0015739990631118417,0.2858049273490906]","[0.00040531784179620445,-0.0011432430474087596,0.0074177891947329044]","[-0.17932899296283722,-0.7376850247383118,9.717350959777832]",0.0004528,4.438,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.625073+00:00,1234216.091574,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,130,6550,1,0,1,1,0,1,0,3427361367,15,49448,1234216042,16,0,0.5797832,0.0124864,"[0.9574071168899536,-0.039126962423324585,0.0013989985454827547,0.286074697971344]","[0.00277966377325356,-0.010246951133012772,0.012486365623772144]","[-0.1864980012178421,-0.729390025138855,9.733138084411621]",0.0005533,5.422,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.675387+00:00,1234216.141644,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,131,6600,1,0,1,1,0,1,0,3427361367,16,18932,1234216092,17,0,0.5805776,0.0162657,"[0.9573042392730713,-0.03895198926329613,0.0010800000745803118,0.28644394874572754]","[0.002736903028562665,-0.016439082100987434,0.016265667974948883]","[-0.17690600454807281,-0.7198119759559631,9.733107566833496]",0.0005533,5.422,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.724814+00:00,1234216.191563,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,132,6650,1,0,1,1,0,1,0,3427361367,17,12723,1234216142,18,0,0.5815907,0.0200450,"[0.9571732878684998,-0.0387289933860302,0.000612000294495374,0.2869129776954651]","[0.002694142749533057,-0.022631213068962097,0.020044967532157898]","[-0.16039800643920898,-0.7633690237998962,9.721943855285645]",0.0007366,7.219,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.775391+00:00,1234216.241649,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,133,6699,1,0,1,1,0,1,0,3427361367,18,12548,1234216192,19,0,0.5829308,0.0250620,"[0.9570002555847168,-0.038424987345933914,-8.100022387225181e-05,0.28753092885017395]","[0.005085906945168972,-0.028823677450418472,0.025061950087547302]","[-0.16749300062656403,-0.738988995552063,9.740694046020508]",0.0007366,7.219,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T11:13:40.824534+00:00,1234216.291605,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,134,6749,1,0,1,1,0,1,0,3427361367,19,62952,1234216242,20,0,0.5843318,0.0263328,"[0.9568183422088623,-0.03810699284076691,-0.0008019996457733214,0.28817692399024963]","[0.005678254645317793,-0.03130754083395004,0.026332776993513107]","[-0.15571600198745728,-0.7753080129623413,9.7293701171875]",0.0008992,8.812,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
