host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T11:29:49.427113+00:00,1235184.894744,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T11:29:49.477774+00:00,1235184.944567,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,408,20450,1,0,1,1,0,1,0,855620901,0,31001,1235184894,1,0,-2.6215324,-0.0187972,"[-0.2571341395378113,0.0036660018377006054,-0.035063017159700394,0.9657325148582458]","[0.004690397996455431,-0.004413623828440905,-0.01879717782139778]","[-0.10763099789619446,-0.6935250163078308,9.743112564086914]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:29:49.528336+00:00,1235184.994572,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,409,20500,1,0,1,1,0,1,0,855620901,1,19697,1235184945,2,0,-2.6234891,-0.0194566,"[-0.2561851739883423,0.003734002821147442,-0.034918028861284256,0.9659896492958069]","[0.004097160417586565,-0.0019220438553020358,-0.019456563517451286]","[-0.10523299872875214,-0.7009720206260681,9.728856086730957]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:29:49.577354+00:00,1235185.044552,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,410,20550,1,0,1,1,0,1,0,855620901,2,38068,1235184995,3,0,-2.6256623,-0.0182115,"[-0.2551322281360626,0.003774003591388464,-0.0347590297460556,0.966273844242096]","[0.004087875131517649,-0.0031542987562716007,-0.01821153424680233]","[-0.12445399910211563,-0.6978179812431335,9.771766662597656]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:29:49.628147+00:00,1235185.094566,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,411,20600,1,0,1,1,0,1,0,855620901,3,48255,1235185045,4,0,-2.6275606,-0.0169665,"[-0.25421103835105896,0.003841000609099865,-0.03462200239300728,0.9665212631225586]","[0.00407859031111002,-0.004386553540825844,-0.016966519877314568]","[-0.12673799693584442,-0.6687229871749878,9.785706520080566]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:29:49.678004+00:00,1235185.144563,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,412,20650,1,0,1,1,0,1,0,855620901,4,25661,1235185095,5,0,-2.6293850,-0.0157510,"[-0.25332510471343994,0.003925001714378595,-0.0344880111515522,0.9667583107948303]","[0.002858622232452035,-0.004363270942121744,-0.015751004219055176]","[-0.11956500262022018,-0.6688290238380432,9.78099250793457]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:29:49.727530+00:00,1235185.194547,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,413,20701,1,0,1,1,0,1,0,855620901,5,40772,1235185145,6,0,-2.6313744,-0.0145134,"[-0.25235801935195923,0.0040350002236664295,-0.03433700650930405,0.9670161008834839]","[0.0016311673680320382,-0.005587671883404255,-0.014513373374938965]","[-0.0885159969329834,-0.7036010026931763,9.719491958618164]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:29:49.777494+00:00,1235185.244548,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,414,20751,1,0,1,1,0,1,0,855620901,6,19506,1235185195,7,0,-2.6331472,-0.0145392,"[-0.2514960765838623,0.004138001706451178,-0.03424800932407379,0.9672433733940125]","[0.0010295523097738624,-0.004336043726652861,-0.014539184980094433]","[-0.08138199895620346,-0.6961609721183777,9.736257553100586]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:29:49.827797+00:00,1235185.294503,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,415,20801,1,0,1,1,0,1,0,855620901,7,35486,1235185245,8,0,-2.6349273,-0.0157314,"[-0.2506302297115326,0.004251003265380859,-0.03418403118848801,0.9674698710441589]","[-0.0012168784160166979,-0.006832405459135771,-0.015731386840343475]","[-0.09487800300121307,-0.6896229982376099,9.74000358581543]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:29:49.877601+00:00,1235185.344502,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,416,20851,1,0,1,1,0,1,0,855620901,8,48309,1235185295,9,0,-2.6367249,-0.0157732,"[-0.24975506961345673,0.00438300147652626,-0.03413401171565056,0.9676973223686218]","[-0.0007958876085467637,-0.004339674022048712,-0.015773151069879532]","[-0.08383899927139282,-0.6982979774475098,9.7530517578125]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
