host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T11:35:14.160160+00:00,1235509.627794,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T11:35:14.210500+00:00,1235509.677633,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,99,5001,0,0,1,1,0,1,0,1706828466,0,41129,1235509627,1,0,1.3379653,0.0018851,"[0.7838987708091736,-0.029400989413261414,-0.01737399399280548,0.6199487447738647]","[-0.007510867435485125,-0.0022012440022081137,0.0018851301865652204]","[-0.10281799733638763,-0.6740469932556152,9.759672164916992]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:35:14.260537+00:00,1235509.727663,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.049648,99,5001,0,0,1,1,0,1,0,1706828466,0,41129,1235509627,1,0,1.3379653,0.0018851,"[0.7838987708091736,-0.029400989413261414,-0.01737399399280548,0.6199487447738647]","[-0.007510867435485125,-0.0022012440022081137,0.0018851301865652204]","[-0.10281799733638763,-0.6740469932556152,9.759672164916992]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:35:14.311009+00:00,1235509.777616,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,100,5050,0,0,1,1,0,1,0,1706828466,1,7199,1235509678,2,0,1.3379620,0.0012737,"[0.7838960289955139,-0.029498964548110962,-0.017488978803157806,0.6199442148208618]","[-0.005678970366716385,-0.001596924033947289,0.0012737064389511943]","[-0.0596730001270771,-0.6653199791908264,9.714463233947754]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:35:14.361381+00:00,1235509.827627,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,101,5100,0,0,1,1,0,1,0,1706828466,2,20519,1235509727,3,0,1.3379743,0.0012811,"[0.7838889956474304,-0.029588982462882996,-0.01760498806834221,0.6199457049369812]","[-0.008122779428958893,-0.002828864613547921,0.001281054224818945]","[-0.07406499981880188,-0.6821280121803284,9.71214485168457]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:35:14.410909+00:00,1235509.877615,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,102,5150,0,0,1,1,0,1,0,1706828466,3,30447,1235509778,4,0,1.3379645,0.0000213,"[0.7838877439498901,-0.029702989384531975,-0.01774599403142929,0.6199377775192261]","[-0.006887872237712145,-0.00035679765278473496,2.1293017198331654e-05]","[-0.07656899839639664,-0.696366012096405,9.724320411682129]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:35:14.461472+00:00,1235509.927653,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,103,5200,0,0,1,1,0,1,0,1706828466,4,31711,1235509828,5,0,1.3379502,0.0004437,"[0.7838870882987976,-0.02983798086643219,-0.017867987975478172,0.6199286580085754]","[-0.008114106021821499,-0.0015914611285552382,0.0004436627496033907]","[-0.08058100193738937,-0.697829008102417,9.732292175292969]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:35:14.511177+00:00,1235509.977626,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,104,5250,0,0,1,1,0,1,0,1706828466,5,48947,1235509878,6,0,1.3379531,-0.0000082,"[0.7838791012763977,-0.03002198040485382,-0.017978988587856293,0.6199265718460083]","[-0.008098572492599487,0.0008987397886812687,-8.18559419712983e-06]","[-0.08859699964523315,-0.7007920145988464,9.745837211608887]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:35:14.561334+00:00,1235510.027579,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,105,5300,0,0,1,1,0,1,0,1706828466,6,46724,1235509928,7,0,1.3379248,0.0005996,"[0.7838817238807678,-0.030179986730217934,-0.018077990040183067,0.6199126839637756]","[-0.0068775746040046215,0.0015224157832562923,0.0005995729588903487]","[-0.11246900260448456,-0.6833680272102356,9.776490211486816]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T11:35:14.610916+00:00,1235510.077617,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,106,5350,0,0,1,1,0,1,0,1706828466,7,42330,1235509978,8,0,1.3379111,0.0005848,"[0.7838801741600037,-0.030328979715704918,-0.01813998632133007,0.6199055314064026]","[-0.007482924964278936,0.0021501933224499226,0.0005848249420523643]","[-0.11011800169944763,-0.6783109903335571,9.793234825134277]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
