host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T11:43:36.349764+00:00,1236011.817423,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T11:43:36.400165+00:00,1236011.867306,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,108,5450,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5584260,0.0012996,"[0.9606467485427856,-0.0343959778547287,-0.004831996746361256,0.2755928337574005]","[0.0004156152717769146,-0.0010124131804332137,0.0012995721772313118]","[-0.08123300224542618,-0.6697379946708679,9.73346996307373]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T11:43:36.450154+00:00,1236011.917273,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,109,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5584260,0.0012996,"[0.9606467485427856,-0.0343959778547287,-0.004831996746361256,0.2755928337574005]","[0.0004156152717769146,-0.0010124131804332137,0.0012995721772313118]","[-0.08123300224542618,-0.6697379946708679,9.73346996307373]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T11:43:36.500787+00:00,1236011.967282,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,110,5550,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5584260,0.0012996,"[0.9606467485427856,-0.0343959778547287,-0.004831996746361256,0.2755928337574005]","[0.0004156152717769146,-0.0010124131804332137,0.0012995721772313118]","[-0.08123300224542618,-0.6697379946708679,9.73346996307373]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T11:43:36.550652+00:00,1236012.017221,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,111,5600,0,0,1,1,0,1,0,1326478758,2,58983,1236011917,1,0,0.5584260,0.0012996,"[0.9606467485427856,-0.0343959778547287,-0.004831996746361256,0.2755928337574005]","[0.0004156152717769146,-0.0010124131804332137,0.0012995721772313118]","[-0.08123300224542618,-0.6697379946708679,9.73346996307373]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T11:43:36.601022+00:00,1236012.067287,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,112,5650,0,0,1,1,0,1,0,1326478758,3,52124,1236011968,2,0,0.5584260,0.0012996,"[0.9606467485427856,-0.0343959778547287,-0.004831996746361256,0.2755928337574005]","[0.0004156152717769146,-0.0010124131804332137,0.0012995721772313118]","[-0.08123300224542618,-0.6697379946708679,9.73346996307373]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T11:43:36.650801+00:00,1236012.117283,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,113,5700,0,0,1,1,0,1,0,1326478758,3,52124,1236011968,2,0,0.5584260,0.0012996,"[0.9606467485427856,-0.0343959778547287,-0.004831996746361256,0.2755928337574005]","[0.0004156152717769146,-0.0010124131804332137,0.0012995721772313118]","[-0.08123300224542618,-0.6697379946708679,9.73346996307373]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T11:43:36.699953+00:00,1236012.167276,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,114,5750,0,0,1,1,0,1,0,1326478758,5,64065,1236012068,3,0,0.5584260,0.0012996,"[0.9606467485427856,-0.0343959778547287,-0.004831996746361256,0.2755928337574005]","[0.0004156152717769146,-0.0010124131804332137,0.0012995721772313118]","[-0.08123300224542618,-0.6697379946708679,9.73346996307373]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T11:43:36.750495+00:00,1236012.217216,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,115,5800,0,0,1,1,0,1,0,1326478758,5,64065,1236012068,3,0,0.5584260,0.0012996,"[0.9606467485427856,-0.0343959778547287,-0.004831996746361256,0.2755928337574005]","[0.0004156152717769146,-0.0010124131804332137,0.0012995721772313118]","[-0.08123300224542618,-0.6697379946708679,9.73346996307373]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T11:43:36.801066+00:00,1236012.267290,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,116,5850,0,0,1,1,0,1,0,1326478758,7,8281,1236012167,4,0,0.5584260,0.0012996,"[0.9606467485427856,-0.0343959778547287,-0.004831996746361256,0.2755928337574005]","[0.0004156152717769146,-0.0010124131804332137,0.0012995721772313118]","[-0.08123300224542618,-0.6697379946708679,9.73346996307373]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
