host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason,telemetry_protocol,udp_source,telemetry_status_flags,raw_frame_hex,udp_datagram_count,udp_byte_count,parser_dropped_bytes,parser_crc_errors,parser_decode_errors
2026-08-11T09:13:42.556320+00:00,1227018.023939823,yaw90_manual_right_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,31078,3617581,,,,,,,,,,,,"[0.9988373517990112,-0.03379998728632927,0.0003349998441990465,0.034371983259916306]","[-0.022794820368289948,-0.010798124596476555,0.005004888866096735]","[-0.06452000141143799,-0.6748089790344238,9.721742630004883]",,,0.209599808,2054.07812,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540066792d333700ceb37f3fdb710abdeba2af39a3c90c3d34bcbabc9eea30bc0d00a43b102384bd48c02cbf428c1b4155a1563e40610045030100a0000000000000000000000000000000000000000000000000000000000000000084e6,2,98,0,0,0
2026-08-11T09:13:42.565883+00:00,1227018.033591947,yaw90_manual_right_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,31079,3617591,,,,,,,,,,,,"[0.9988347291946411,-0.033899981528520584,0.0002819998189806938,0.03435098007321358]","[-0.02217826619744301,-0.009554386138916016,0.004986457992345095]","[-0.06218999996781349,-0.6819630265235901,9.726672172546387]",,,0.209599808,2054.07812,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a01015400677937333700a2b37f3fb5da0abd60d993399db30c3d32afb5bc008a1cbc7165a33bf1ba7ebd21952ebf73a01b4155a1563e40610045030100a000000000000000000000000000000000000000000000000000000000000000005e69,4,196,0,0,0
2026-08-11T09:13:42.576328+00:00,1227018.044044779,yaw90_manual_right_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,31080,3617601,,,,,,,,,,,,"[0.9988322854042053,-0.03399699181318283,0.00022999991779215634,0.034325990825891495]","[-0.02036232128739357,-0.012092391960322857,0.002595967845991254]","[-0.059838999062776566,-0.6818270087242126,9.736294746398926]",,,0.20960778,2054.15625,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540068794133370079b37f3f6e400bbd222c713969990c3de2cea6bc2b1f46bc1d212a3bbd1975bd378c2ebfddc71b416ca3563e80620045030100a0000000000000000000000000000000000000000000000000000000000000000044d4,6,294,0,0,0
2026-08-11T09:13:42.587983+00:00,1227018.055685094,yaw90_manual_right_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,31081,3617611,,,,,,,,,,,,"[0.9988300800323486,-0.03408797085285187,0.00016699981642886996,0.034300971776247025]","[-0.019144047051668167,-0.011445572599768639,0.0050381021574139595]","[-0.06461799889802933,-0.6866899728775024,9.731512069702148]",,,0.20960778,2054.15625,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540069794b33370054b37f3fd49f0bbdac1c2f392d7f0c3dfad39cbc36863bbcaa16a53b715684bdeaca2fbf46b41b416ca3563e80620045030100a00000000000000000000000000000000000000000000000000000000000000000a5b9,8,392,0,0,0
2026-08-11T09:13:42.596971+00:00,1227018.064727688,yaw90_manual_right_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,31082,3617621,,,,,,,,,,,,"[0.9988282322883606,-0.03416699916124344,0.00010999994265148416,0.034275997430086136]","[-0.01629236899316311,-0.010231660678982735,0.0038103158585727215]","[-0.05660799890756607,-0.6902629733085632,9.710067749023438]",,,0.20960778,2054.15625,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154006a795533370035b37f3fb2f20bbdc5afe638fd640c3d937785bcb2a227bc7eb6793bcadd67bd13b530bf705c1b416ca3563e80620045030100a0000000000000000000000000000000000000000000000000000000000000000096b0,10,490,0,0,0
2026-08-11T09:13:42.606434+00:00,1227018.074145267,yaw90_manual_right_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,31083,3617631,,,,,,,,,,,,"[0.9988269209861755,-0.034230977296829224,4.8999943828675896e-05,0.03424997627735138]","[-0.013058831915259361,-0.012748007662594318,0.0038742467295378447]","[-0.047887999564409256,-0.7016749978065491,9.700739860534668]",,,0.20960778,2054.15625,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154006b795f3337001fb37f3fc8350cbd4a854d38b4490c3db6f455bc05dd50bc13e77d3b352644bdf9a033bf3b361b416ca3563e80620045030100a000000000000000000000000000000000000000000000000000000000000000001d34,12,588,0,0,0
2026-08-11T09:13:42.615807+00:00,1227018.083535393,yaw90_manual_right_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,31084,3617641,,,,,,,,,,,,"[0.9988259673118591,-0.034283969551324844,-9.000041245599277e-06,0.03422396630048752]","[-0.010600082576274872,-0.009020700119435787,0.0038226726464927197]","[-0.03836800158023834,-0.7090089917182922,9.696159362792969]",,,0.209697857,2055.03882,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154006c79693337000fb37f3f596d0cbde2fe16b76e2e0c3df8ab2dbc8fcb13bcce857a3bc4271dbd9d8135bf78231b4109bb563e9f700045030100a000000000000000000000000000000000000000000000000000000000000000001f00,14,686,0,0,0
2026-08-11T09:13:42.625764+00:00,1227018.093463811,yaw90_manual_right_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,31085,3617651,,,,,,,,,,,,"[0.9988257884979248,-0.03431897982954979,-6.499993469333276e-05,0.034194979816675186]","[-0.005741417407989502,-0.011555232107639313,0.0032849889248609543]","[-0.047908999025821686,-0.708965003490448,9.696048736572266]",,,0.209697857,2055.03882,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154006d79733337000cb37f3f0f920cbd935088b809100c3d8022bcbb28523dbcf848573b3a3c44bdbb7e35bf04231b4109bb563e9f700045030100a000000000000000000000000000000000000000000000000000000000000000006926,16,784,0,0,0
2026-08-11T09:13:42.635792+00:00,1227018.103475056,yaw90_manual_right_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,31086,3617661,,,,,,,,,,,,"[0.9988261461257935,-0.034338004887104034,-0.000121000011858996,0.03416600078344345]","[-0.003294222056865692,-0.00991511158645153,0.002658834448084235]","[-0.03754099830985069,-0.7083330154418945,9.688163757324219]",,,0.209697857,2055.03882,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154006e797d33370012b37f3f02a60cbd63c1fdb8a6f10b3de0e357bbfe7222bcd73f2e3b97c419bd505535bfb8021b4109bb563e9f700045030100a00000000000000000000000000000000000000000000000000000000000000000ff07,18,882,0,0,0
2026-08-11T09:13:42.646308+00:00,1227018.113982649,yaw90_manual_right_then_return,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,31087,3617671,,,,,,,,,,,,"[0.9988274574279785,-0.034332986921072006,-0.00017099990509450436,0.03413298726081848]","[0.0028016027063131332,-0.009122643619775772,0.002681017853319645]","[-0.03833400085568428,-0.7091550230979919,9.686567306518555]",,,0.209697857,2055.03882,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154006f798733370028b37f3fbfa00cbd704e33b908cf0b3d189b373b247715bc04b42f3b1d041dbd2f8b35bf2efc1a4109bb563e9f700045030100a0000000000000000000000000000000000000000000000000000000000000000079b4,20,980,0,0,0
