host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T15:18:10.010600+00:00,107065.293879,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T15:18:10.061330+00:00,107065.344015,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,661,33100,1,0,1,1,0,1,0,390687387,124,47397,107050517,125,0,2.8437786,0.0048834,"[-0.14844314754009247,0.0004010001430287957,-0.037545036524534225,0.9882079362869263]","[-0.008105815388262272,0.000960419827606529,0.004883413668721914]","[-0.05998300015926361,-0.7205700278282166,9.720069885253906]",0.0001985,1.945,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:18:10.112055+00:00,107065.394041,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,662,33150,1,0,1,0,0,1,0,4196177082,0,13817,107065293,126,0,2.8438435,0.0024597,"[-0.1484101265668869,0.0004510006692726165,-0.037726037204265594,0.9882059693336487]","[-0.008109655231237411,-0.00031808626954443753,0.0024597099982202053]","[-0.07192199677228928,-0.7229200005531311,9.719966888427734]",0.0001985,1.945,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:18:10.162079+00:00,107065.444029,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,663,33200,1,0,1,0,0,1,0,4196177082,1,19113,107065344,127,0,2.8438859,0.0036900,"[-0.1483881175518036,0.0005070004845038056,-0.0379200279712677,0.9882017970085144]","[-0.01055528037250042,-0.0015345981810241938,0.0036899750120937824]","[-0.0695979967713356,-0.7333300113677979,9.721746444702148]",0.0001379,1.352,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:18:10.212091+00:00,107065.494070,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,664,33250,1,0,1,0,0,1,0,4196177082,2,47898,107065395,128,0,2.8439295,0.0036789,"[-0.1483650505542755,0.0005750003037974238,-0.03812701255083084,0.9881972670555115]","[-0.00872055534273386,-0.0002987305633723736,0.0036789271980524063]","[-0.0719980001449585,-0.7373530268669128,9.720178604125977]",0.0001379,1.352,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:18:10.262069+00:00,107065.544029,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,665,33300,1,0,1,0,0,1,0,4196177082,3,5679,107065445,129,0,2.8439281,0.0049055,"[-0.14836400747299194,0.0006510001257993281,-0.03834100440144539,0.9881891012191772]","[-0.008113285526633263,-0.0002872288750950247,0.0049055274575948715]","[-0.08155599981546402,-0.7421559691429138,9.717741012573242]",0.0000694,0.680,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:18:10.311390+00:00,107065.594034,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,666,33350,1,0,1,0,0,1,0,4196177082,4,19347,107065495,130,0,2.8438888,0.0049313,"[-0.14838112890720367,0.0007400005706585944,-0.038536038249731064,0.9881789088249207]","[-0.011173650622367859,-0.0027629262767732143,0.004931288305670023]","[-0.08636000007390976,-0.7321460247039795,9.741525650024414]",0.0000191,0.188,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:18:10.362087+00:00,107065.644038,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,667,33400,1,0,1,0,0,1,0,4196177082,5,3137,107065545,131,0,2.8438475,0.0036752,"[-0.14839909970760345,0.0008360007195733488,-0.038752030581235886,0.9881676435470581]","[-0.012991620227694511,-0.0015188727993518114,0.0036751923616975546]","[-0.09820900112390518,-0.7176589965820312,9.74117660522461]",0.0000191,0.188,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:18:10.411998+00:00,107065.693973,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,668,33450,1,0,1,0,0,1,0,4196177082,6,65010,107065594,132,0,2.8437948,0.0061653,"[-0.14842209219932556,0.000941000587772578,-0.03894202411174774,0.9881566166877747]","[-0.009348193183541298,-0.0027593132108449936,0.006165270693600178]","[-0.10791599750518799,-0.7292019724845886,9.77001953125]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:18:10.462083+00:00,107065.744027,establish_disarmed,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,669,33500,1,0,1,0,0,1,0,4196177082,7,46896,107065645,133,0,2.8437209,0.0053697,"[-0.14845509827136993,0.0010610006283968687,-0.03913702815771103,0.9881438612937927]","[-0.009760509245097637,-0.004014641046524048,0.005369662307202816]","[-0.1015240028500557,-0.7228050231933594,9.770800590515137]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
