time_s,depth_m,depth_ref_m,heave_velocity_m_s,heave_rate_ref_m_s,heave_force_n,heave_disturbance_n,yaw_rad,yaw_ref_rad,yaw_rate_rad_s,yaw_rate_ref_rad_s,yaw_moment_nm,yaw_disturbance_nm,heave_sliding,yaw_sliding
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05910404133226791,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.016499916812625824,1.2712187791308338e-06,0.0,0.00025423097966040123,-5.981424154778281e-08,-0.017009501670674613,0.06063067209127609,0.0,-0.000254290793901949
0.02,2.357667589639153e-08,0.0,4.7139312159334304e-06,-5.3126974102445e-10,-0.0026020819994437734,0.03299933450402627,4.751355423771031e-06,0.0,0.00044178685640334505,-2.810328647332718e-07,-0.02959707395826924,0.06215342250796563,-4.714462485674455e-06,-0.0004420678892680783
0.03,1.1410842417819642e-07,0.0,1.3389834189338611e-05,-3.087590394731306e-09,-0.007395702607361291,0.04949775396807433,9.86878197917207e-06,0.0,0.0005816913363316819,-7.343659800345904e-07,-0.03903179022194218,0.06367219512682966,-1.3392921779733343e-05,-0.0005824257023117164
0.04,3.080466622661022e-07,0.0,2.5394237128373128e-05,-9.942052915613834e-09,-0.014035460200782926,0.06599467612883933,1.6214782479817558e-05,0.0,0.0006875033589931923,-1.4685199361580569e-06,-0.046218038204253846,0.06518689274693895,-2.5404179181288743e-05,-0.0006889718789293503
0.05,6.360065628937182e-07,0.0,4.019333314948502e-05,-2.3993594938208248e-08,-0.022230733738665784,0.08248960195568386,2.349675658841477e-05,0.0,0.0007688872933024549,-2.516523650565011e-06,-0.051800314842020224,0.06669741842816287,-4.021732674442323e-05,-0.0007714038169530199
0.06,1.1236845364613642e-06,0.0,5.73371517017914e-05,-4.8638534560786865e-08,-0.031736969582237186,0.09898203247835946,3.150486922942619e-05,0.0,0.0008327319565206104,-3.900237657142135e-06,-0.056237905186647355,0.0682036754973734,-5.7385790236352185e-05,-0.0008366321941777526
0.07,1.79263002065332e-06,0.0,7.644624782135551e-05,-8.76631139286979e-08,-0.04234835427163479,0.11547146880210052,4.008828269252973e-05,0.0,0.0008839481013341853,-5.633568008519531e-06,-0.05985810133329305,0.06970556755463223,-7.653391093528422e-05,-0.0008895816693427048
0.08,2.6608947521118133e-06,0.0,9.720050864206602e-05,-1.4515370004912481e-07,-0.053891652854320606,0.13195741212271558,4.9138217843136545e-05,0.0,0.0009260367603805554,-7.724757144153595e-06,-0.06289412878915661,0.07120299847936033,-9.734566234211515e-05,-0.0009337615175247089
0.09,3.7435790079673665e-06,0.0,0.00011932974031593216,-2.254218238334763e-07,-0.06622102739471958,0.14843936374167635,5.857588223534549e-05,0.0,0.0009614942890973752,-1.0178016917633674e-05,-0.06551217493946852,0.07269587243648966,-0.00011955516213976563,-0.0009716723060150088
0.1,5.05329120458947e-06,0.0,0.000142605752084978,-3.329416870347927e-07,-0.07921367976454917,0.1649168250812032,6.83438667263836e-05,0.0,0.0009921010287128672,-1.299469277978457e-05,-0.06783065121315356,0.07418409388259654,-0.0001429386937720128,-0.0010050957214926518
0.11,6.600534633740415e-06,0.0,0.00016683569931159024,-4.7229814403151567e-07,-0.0927661876016023,0.1813892976993471,7.840001399772589e-05,0.0,0.0010191270287377603,-1.6174093811025816e-05,-0.06993392058055267,0.07566756757201637,-0.00016730799745562176,-0.0010353011225487862
0.12,8.394032923923378e-06,0.0,0.00019185648516993945,-6.481434826632256e-07,-0.10679142317408363,0.1978562833050675,8.871304873947494e-05,0.0,0.0010434786600496372,-1.9714084596191077e-05,-0.07188208072037743,0.07714619856293942,-0.00019250462865260268,-0.0010631927446458282
0.13,1.0441003971128079e-05,0.0,0.00021753005256819788,-8.651615950992158e-07,-0.12121596242319167,0.21431728377330544,9.925946332867142e-05,0.0,0.0010658031022528856,-2.361150735444382e-05,-0.07371793620377659,0.07861989222348693,-0.0002183952141632971,-0.0010894146096073294
0.14,1.274739053290334e-05,0.0,0.00024373942466865493,-1.1280383540483364e-06,-0.13597790620466715,0.23077180116005205,0.00011002129826209739,0.0,0.0010865628091012269,-2.7862483080672675e-05,-0.07547196738148305,0.08008855423776767,-0.00024486746302270325,-0.0011144252921818996
0.15,1.5318054376062353e-05,0.0,0.00027038537490693134,-1.4414371982519778e-06,-0.15102504815326961,0.24721933771741106,0.00012098456025810833,0.0,0.0011060885780275536,-3.246262644642657e-05,-0.07716587158061293,0.08155209061191404,-0.0002718268121051833,-0.0011385512044739803
0.16,1.815693977211256e-05,0.0,0.0002973836263605063,-1.809979089820489e-06,-0.166313334025147,0.26365939590865595,0.00013213809480960848,0.0,0.0011246173713422615,-3.740719922506745e-05,-0.0788150868262022,0.08301040768009764,-0.00029919360545032676,-0.0011620245705673288
0.17,2.1267211212699794e-05,0.0,0.0003246624962510247,-2.238226139352305e-06,-0.18180556614525645,0.2800914784232799,0.00014347278261084284,0.0,0.0011423192703147488,-4.2691219890769325e-05,-0.08043059043499166,0.08446341211052386,-0.000326900722390377,-0.0011850104902055181
0.18,2.4651369442216787e-05,0.0,0.00035216091476395536,-2.730668306930377e-06,-0.1974703139640516,0.29651508819204,0.00015498096679733564,0.0,0.001159316684524141,-4.8309541970187216e-05,-0.08202018082909988,0.08591101091140511,-0.0003548915830708857,-0.0012076262264943281
0.19,2.8311349252915258e-05,0.0,0.00037982675863644765,-3.2917126813990164e-06,-0.21328099793136635,0.31292972840199307,0.00016665604468357742,0.0,0.0011756980417299307,-5.425691011208006e-05,-0.0835893910533932,0.0873531114369123,-0.0003831184713178467,-0.0012299549518420107
0.2,3.2248601939756476e-05,0.0,0.000407615449438842,-3.9256749196255446e-06,-0.22921511911235776,0.3293349025115245,0.00017849217672649687,0.0,0.0011915275441463377,-6.0528000264365726e-05,-0.08514213981695395,0.08878962139310397,-0.00041154112435846756,-0.0012520555444107035
0.21,3.646416485133746e-05,0.0,0.00043548877444244414,-4.63677249413304e-06,-0.24525361135744184,0.34573011426536837,0.00019048407903810016,0.0,0.0012068521213433525,-6.711744851297615e-05,-0.08668119547438434,0.09022044884383325,-0.00044012554693657717,-0.0012739695698563286
0.22,4.095872008566374e-05,0.0,0.0004634138946657043,-5.429119453560789e-06,-0.2613802965273382,0.3621148677096194,0.0002026268754349303,0.0,0.0012217063852578024,-7.401987182845644e-05,-0.08820850669371842,0.09164550221663174,-0.0004688430141192651,-0.0012957262570862588
0.23,4.5732644053637355e-05,0.0,0.0004913625103245337,-6.306722447556266e-06,-0.2775814263766292,0.37848866720673546,0.0002149159919180299,0.0,0.0012361161613641514,-8.122988303407838e-05,-0.08972543811507785,0.09306469030856995,-0.00049766923277209,-0.0013173460443982297
0.24,5.0786049359079234e-05,0.0,0.0005193101586497362,-7.273477807346345e-06,-0.2938452973079914,0.3948510174505301,0.0002273470813913825,0.0,0.0012501010051168548,-8.874210164484723e-05,-0.09123293829850658,0.09447792229209442,-0.0005265836364570825,-0.001338843106761702
0.25,5.6118820213658555e-05,0.0,0.0005472356230180463,-8.333169506569811e-06,-0.3101619264029705,0.4112014234811563,0.0002399159699288944,0.0,0.0012636759952286967,-9.65511617532228e-05,-0.09273165941592366,0.0958851077208406,-0.0005555687925246161,-0.0013602271569819195
0.26,6.173064241131991e-05,0.0,0.0005751204356929667,-9.489467854982112e-06,-0.3265227789798728,0.42753939070007846,0.00025261861839620536,0.0,0.0012768530115762264,-0.00010465171779984072,-0.09422204255226593,0.09728615653542136,-0.0005846099035479487,-0.0013815047293760671
0.27,6.762102872384888e-05,0.0,0.0006029484592883342,-1.0745928801210743e-05,-0.3429205394805564,0.443864424885034,0.00026545109501663333,0.0,0.0012896416458201233,-0.00011303844882711474,-0.09570437849718585,0.0986809790691908,-0.000613694388089545,-0.001402680094647238
0.28,7.378934044219242e-05,0.0,0.0006307055344361136,-1.210599374055566e-05,-0.35934891879231323,0.4601760322049837,0.00027840955573310566,0.0,0.0013020498502789041,-0.0001217060616420293,-0.09717885106945186,0.10006948605398283,-0.0006428115281766693,-0.0014237559119209334
0.29,8.023480567292659e-05,0.0,0.0006583791831316243,-1.3572989740490521e-05,-0.3758024922079055,0.4764737192350499,0.00029149023012520203,0.0,0.001314084400270708,-0.00013064929319227646,-0.09864556799286944,0.10145158862582437,-0.0006719521728721148,-0.0014447336934629844
0.3,8.695653490237328e-05,0.0,0.0006859583589042161,-1.515013011052933e-05,-0.3922765631491693,0.49275699297144293,0.00030468941128880545,0.0,0.0013257512235266948,-0.00013986291237303377,-0.10010458290058008,0.10282719833062262,-0.0007011084890147455,-0.0014656141358997286
0.31,9.395353425939088e-05,0.0,0.0007134332363697412,-1.684051525490134e-05,-0.4087670485552012,0.5090253608463737,0.000318003448532167,0.0,0.0013370556348775288,-0.00014934172141922754,-0.1015559110167145,0.104196227129826,-0.0007302737516246425,-0.0014863973562967564
0.32,0.0001012247168393507,0.0,0.0007407950339054232,-1.864713375637962e-05,-0.42527038248833365,0.5252783307429548,0.0003314287420823625,0.0,0.0013480025034384247,-0.00015908055699412948,-0.102999540332159,0.1055585874060586,-0.0007594421676618029,-0.0015070830604325541
0.33,0.00010876891239419755,0.0,0.0007680358641835521,-2.0572863647934234e-05,-0.441783435059533,0.541515411010086,0.00034496173922571316,0.0,0.001358596371695198,-0.00016907429105366515,-0.10443543956915995,0.10691419196872783,-0.0007886087278314864,-0.001527670662748863
0.34,0.00011658487564504513,0.0,0.0007951486081378188,-2.2620473835880106e-05,-0.4583034442360124,0.5577361104773276,0.0003585989314629501,0.0,0.0013688415403186208,-0.00017931783154297547,-0.10586356385736401,0.10826295405960434,-0.000817769081973699,-0.0015481593718615963
0.35000000000000003,0.00012467129343301703,0.0,0.0008221268086402478,-2.479262564407383e-05,-0.4748279584816445,0.5739399384697574,0.00037233685239534964,0.0,0.001378742128561632,-0.00018980612296620256,-0.1072838587790266,0.10960478735837474,-0.0008469194342843216,-0.0015685482515278345
0.36,0.00013302679088978502,0.0,0.0008489645807588027,-2.7091874453659936e-05,-0.49135478850683967,0.5901264048228143,0.000386172076124236,0.0,0.001388302117261725,-0.0002005341468586263,-0.10869626325190913,0.11093960598816584,-0.0008760564552124626,-0.0015888362641203512
0.37,0.0001416499367804472,0.0,0.0008756565359636404,-2.9520671417025054e-05,-0.5078819666787597,0.6062950198971255,0.0004001012160204098,0.0,0.0013975253794533615,-0.00021149692218238648,-0.11010071158393961,0.11226732452104103,-0.0009051772073806654,-0.001609022301635748
0.38,0.00015053924814716288,0.0,0.0009021977180686717,-3.208136522811317e-05,-0.5244077128733085,0.622445294593318,0.00041412092375470166,0.0,0.0014064157021567152,-0.0002226895056610735,-0.11149713493762359,0.1135878579834674,-0.0009342790832967848,-0.0016291052078177886
0.39,0.0001596931943615877,0.0,0.0009285835490471548,-3.477620393419255e-05,-0.540930405744226,0.6385767403668137,0.00042822788851548665,0.0,0.001414976801884264,-0.00023410699206438129,-0.11288546237386096,0.11490112186175405,-0.0009633597529813474,-0.0016490837939486453
0.4,0.0001691102006770211,0.0,0.0009548097831560994,-3.760733677663345e-05,-0.5574485585476481,0.654688869242608,0.00044241883635898205,0.0,0.0014232123356761996,-0.000245744514451029,-0.11426562159605537,0.11620703210746104,-0.0009924171199327328,-0.0016689568501272287
0.41000000000000003,0.00017878865135677102,0.0,0.0009808724680532047,-4.0576816050330004e-05,-0.5739607987975889,0.6707811938300312,0.0004566905296541357,0.0,0.001431125908955082,-0.0002575972443760376,-0.11563753948067451,0.11750550514277841,-0.0010214492841035348,-0.0016887231533311198
0.42,0.0001887268924431245,0.0,0.001006767911799397,-4.368659897314272e-05,-0.5904658511430819,0.6868532273374914,0.00047103976659368385,0.0,0.0014387210811191557,-0.00026966039206687367,-0.11700114245564341,0.11879645786587507,-0.0010504545107725399,-0.0017083814731860293
0.43,0.00019892323422112477,0.0,0.0010324926548160624,-4.6938549558202165e-05,-0.6069625229546576,0.7029044835872008,0.0004854633807540587,0.0,0.0014460013695294306,-0.0002819292065719782,-0.11835635677035898,0.12007980765621745,-0.0010794312043742645,-0.001727930576101409
0.44,0.00020937595342278566,0.0,0.0010580434460140953,-5.033444048314434e-05,-0.6234496921893449,0.7189344770298817,0.0004999582406894909,0.0,0.001452970252357079,-0.0002943989758843737,-0.11970310868849347,0.12135547237985696,-0.0011083778864972396,-0.0017473692282414528
0.45,0.00022008329521016904,0.0,0.0010834172224363607,-5.387595495138115e-05,-0.6399262971719302,0.7349427227594549,0.0005145212495500928,0.0,0.0014596311706234796,-0.0003070650270424537,-0.12104132462580285,0.12262337039468676,-0.0011372931773877418,-0.0017666961976659334
